Reactor Name,Reactor Status,Country,Reactor Type,Model,Owner,Operator,Reference Unit Power (Net Capacity) [MWe],Design Net Capacity [MWe],Gross Capacity [MWe],Thermal Capacity [MWt],Construction Start Date,First Criticality Date,Construction Suspended Date,Construction Restart Date,First Grid Connection,Commercial Operation Date,Suspended Operation Date,End of Suspended Operation Date,Permanent Shutdown Date,Thermal Efficiency [%],Energy Efficiency [%],Years Connected
ATUCHA-1,Operational,Argentina,PHWR,PHWR KWU,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,340,319,362,1179,1968-05-31,1974-01-13,,,1974-03-19,1974-06-24,,,,28.84,27.06,0
ATUCHA-2,Operational,Argentina,PHWR,PHWR KWU,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,693,692,745,2160,1981-07-13,2014-06-03,,,2014-06-27,2016-05-26,,,,32.08,32.04,0
CAREM25,Under Construction,Argentina,PWR,CAREM Prototype (Integrated-PWR),COMISION NACIONAL DE ENERGIA ATOMICA,COMISION NACIONAL DE ENERGIA ATOMICA,25,25,29,100,2015-08-25,N/A,,,N/A,N/A,,,,25.0,25.0,0
EMBALSE,Operational,Argentina,PHWR,CANDU 6,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,608,608,656,2064,1974-03-31,1983-03-13,,,1983-04-25,1984-01-20,,,,29.46,29.46,0
ARMENIAN-1,Permanent Shutdown,Armenia,PWR,VVER V-270,Ministry of Territorial Administration and Infrastructure,Closed Joint Stock Company Armenian NPP,376,376,408,1375,1969-07-01,1976-12-15,,,1976-12-22,1977-10-06,,,1989-02-25,27.35,27.35,0
ARMENIAN-2,Operational,Armenia,PWR,VVER V-270,Ministry of Territorial Administration and Infrastructure,Closed Joint Stock Company Armenian NPP,416,375,448,1375,1975-07-01,1980-01-01,,,1980-01-05,1980-05-03,1989-03-18,1995-11-05,,30.25,27.27,0
ROOPPUR-1,Under Construction,Bangladesh,PWR,VVER V-523,Bangladesh Atomic Energy Commission,Nuclear Power Plant Company Bangladesh Limited,1080,1080,1200,3200,2017-11-30,N/A,,,N/A,N/A,,,,33.75,33.75,0
ROOPPUR-2,Under Construction,Bangladesh,PWR,VVER V-523,Bangladesh Atomic Energy Commission,Nuclear Power Plant Company Bangladesh Limited,1080,1080,1200,3200,2018-07-14,N/A,,,N/A,N/A,,,,33.75,33.75,0
BELARUSIAN-1,Operational,Belarus,PWR,VVER V-491,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",1110,1110,1194,3200,2013-11-08,2020-10-11,,,2020-11-03,2021-06-10,,,,34.69,34.69,0
BELARUSIAN-2,Operational,Belarus,PWR,VVER V-491,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",1110,1110,1194,3200,2014-04-27,2023-03-25,,,2023-05-13,2023-11-01,,,,34.69,34.69,0
BR-3,Permanent Shutdown,Belgium,PWR,Prototype,CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE / STUDIECENTRUM VOOR KERNENERGIE,CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE / STUDIECENTRUM VOOR KERNENERGIE,10,11,12,41,1957-11-01,1962-08-29,,,1962-10-10,1962-10-10,,,1987-06-30,24.39,26.83,0
DOEL-1,Permanent Shutdown,Belgium,PWR,WH 2LP,"INDIVISION DOEL (EBES , INTERCOM , UNERG)",ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,445,392,454,1311,1969-07-01,1974-07-18,,,1974-08-28,1975-02-15,,,2025-02-14,33.94,29.9,0
DOEL-2,Operational,Belgium,PWR,WH 2LP,"INDIVISION DOEL (EBES , INTERCOM , UNERG)",ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,445,445,454,1311,1971-09-01,1975-08-04,,,1975-08-21,1975-12-01,,,,33.94,33.94,0
